HH MM       Wp      kak      lrm      wmq      izn      fur      ebr      tdc      sjg      tuc      hon      cnb   n
01 33    0.117    0.172    0.289  999.000    0.156    0.175    0.134    0.070    0.049    0.226    0.064    0.529   5
01 34    0.105    0.082    0.172  999.000    0.138    0.199    0.077    0.047    0.063    0.147    0.049    0.311   5
01 35    0.093    0.059    0.163  999.000    0.115    0.139    0.064    0.062    0.087    0.120    0.063    0.206   5
01 36    0.098    0.071    0.186  999.000    0.097    0.138    0.092    0.064    0.097    0.147    0.053    0.237   5
01 37    0.101    0.091    0.168  999.000    0.169    0.143    0.089    0.061    0.045    0.086    0.049    0.273   5
01 38    0.096    0.077    0.094  999.000    0.157    0.123    0.072    0.073    0.055    0.076    0.054    0.232   5
01 39    0.062    0.054    0.128  999.000    0.089    0.071    0.059    0.056    0.034    0.081    0.030    0.146   5
01 40    0.051    0.072    0.187  999.000    0.065    0.065    0.062    0.045    0.018    0.087    0.046    0.127   5
01 41    0.081    0.093    0.134  999.000    0.102    0.128    0.069    0.070    0.037    0.112    0.050    0.192   5
01 42    0.097    0.112    0.123  999.000    0.143    0.149    0.068    0.071    0.052    0.110    0.069    0.299   5
01 43    0.117    0.091    0.104  999.000    0.129    0.216    0.102    0.075    0.063    0.139    0.062    0.262   5
01 44    0.116    0.074    0.172  999.000    0.149    0.199    0.086    0.078    0.070    0.202    0.068    0.383   5
01 45    0.088    0.050    0.102  999.000    0.116    0.162    0.055    0.072    0.036    0.097    0.051    0.227   5
01 46    0.114    0.095    0.148  999.000    0.160    0.173    0.076    0.105    0.059    0.206    0.065    0.184   5
01 47    0.130    0.237    0.202  999.000    0.163    0.176    0.115    0.134    0.063    0.201    0.088    0.352   5
01 48    0.096    0.110    0.159  999.000    0.146    0.197    0.098    0.050    0.039    0.169    0.057    0.182   4
01 49    0.072    0.076    0.168  999.000    0.135    0.115    0.063    0.072    0.038    0.188    0.063    0.203   4
01 50    0.091    0.140    0.220  999.000    0.147    0.174    0.092    0.063    0.037    0.182    0.064    0.225   4
01 51    0.074    0.108    0.229  999.000    0.105    0.122    0.062    0.068    0.044    0.196    0.057    0.231   4
01 52    0.056    0.094    0.092  999.000    0.092    0.089    0.029    0.067    0.039    0.127    0.044    0.221   4
01 53    0.103    0.071    0.129  999.000    0.153    0.145    0.104    0.098    0.067    0.141    0.067    0.147   4
01 54    0.139    0.085    0.139  999.000    0.165    0.233    0.126    0.101    0.096    0.187    0.068    0.208   4
01 55    0.082    0.099    0.065  999.000    0.097    0.139    0.078    0.061    0.049    0.093    0.032    0.210   4
01 56    0.063    0.078    0.058  999.000    0.076    0.073    0.076    0.055    0.048    0.163    0.046    0.162   4
01 57    0.076    0.047    0.105  999.000    0.127    0.159    0.066    0.031    0.049    0.124    0.048    0.115   4
01 58    0.095    0.050    0.136  999.000    0.127    0.178    0.089    0.048    0.065    0.149    0.054    0.260   4
01 59    0.135    0.102    0.110  999.000    0.192    0.207    0.162    0.080    0.091    0.203    0.061    0.313   4
02 00    0.113    0.121    0.080  999.000    0.222    0.185    0.113    0.068    0.064    0.133    0.048    0.318   5
02 01    0.092    0.104    0.065  999.000    0.215    0.176    0.108    0.064    0.042    0.072    0.025    0.199   5
